"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","CGEXP","HEALTH","PC","A","2014",3.51,
"AUT","CGEXP","HOUCOMM","PC","A","2014",0.1,
"BEL","CGEXP","ECOAFF","PC","A","2014",7.59,
"CZE","CGEXP","HEALTH","PC","A","2014",10.3,
"CZE","CGEXP","HOUCOMM","PC","A","2014",0.84,
"FRA","CGEXP","HEALTH","PC","A","2014",1.08,
"FRA","CGEXP","HOUCOMM","PC","A","2014",1.34,
"HUN","CGEXP","HEALTH","PC","A","2014",15.33,
"HUN","CGEXP","SOCPROT","PC","A","2014",11.6,
"ITA","CGEXP","SOCPROT","PC","A","2014",23.69,
"LUX","CGEXP","SOCPROT","PC","A","2014",40.39,"P"
"PRT","CGEXP","ECOAFF","PC","A","2014",15.45,"E"
"SVK","CGEXP","EDU","PC","A","2014",11.21,
"SWE","CGEXP","ECOAFF","PC","A","2014",9.8,
"GBR","CGEXP","ECOAFF","PC","A","2014",6.19,
"EST","CGEXP","ECOAFF","PC","A","2014",11.02,
"SVN","CGEXP","HEALTH","PC","A","2014",11.06,
"SVN","CGEXP","SOCPROT","PC","A","2014",25.38,
"OECD","CGEXP","SOCPROT","PC","A","2014",28.76,
"FIN","CGEXP","HEALTH","PC","A","2014",11.11,
"GRC","CGEXP","SOCPROT","PC","A","2014",11.47,
"IRL","CGEXP","SOCPROT","PC","A","2014",36.53,
"LUX","CGEXP","EDU","PC","A","2014",14.61,"P"
"NLD","CGEXP","ECOAFF","PC","A","2014",10.64,
"POL","CGEXP","ECOAFF","PC","A","2014",12.8,
"PRT","CGEXP","EDU","PC","A","2014",12.21,"E"
"ESP","CGEXP","ECOAFF","PC","A","2014",7.97,
"SWE","CGEXP","EDU","PC","A","2014",5.66,
"EST","CGEXP","EDU","PC","A","2014",7.5,
"FIN","CGEXP","SOCPROT","PC","A","2014",29.49,
"FRA","CGEXP","EDU","PC","A","2014",16.69,
"GRC","CGEXP","ECOAFF","PC","A","2014",7.6,
"HUN","CGEXP","EDU","PC","A","2014",12.27,
"IRL","CGEXP","ECOAFF","PC","A","2014",7.51,
"ITA","CGEXP","EDU","PC","A","2014",12.12,
"SVK","CGEXP","HEALTH","PC","A","2014",6.42,
"SVK","CGEXP","HOUCOMM","PC","A","2014",0.31,
"SVN","CGEXP","EDU","PC","A","2014",13.46,
"AUT","CGEXP","EDU","PC","A","2014",9.35,
"BEL","CGEXP","HOUCOMM","PC","A","2014",0,
"CZE","CGEXP","EDU","PC","A","2014",12.94,
"DNK","CGEXP","HEALTH","PC","A","2014",11.32,
"DNK","CGEXP","HOUCOMM","PC","A","2014",0.34,
"FIN","CGEXP","ECOAFF","PC","A","2014",11.92,
"DEU","CGEXP","HEALTH","PC","A","2014",1.67,
"DEU","CGEXP","HOUCOMM","PC","A","2014",0.55,
"SVK","CGEXP","SOCPROT","PC","A","2014",24.52,
"ESP","CGEXP","EDU","PC","A","2014",0.75,
"OECD","CGEXP","HEALTH","PC","A","2014",16.23,
"OECD","CGEXP","HOUCOMM","PC","A","2014",1.63,
"BEL","CGEXP","HEALTH","PC","A","2014",2.77,
"DNK","CGEXP","SOCPROT","PC","A","2014",35.59,
"DEU","CGEXP","SOCPROT","PC","A","2014",44.83,
"IRL","CGEXP","EDU","PC","A","2014",12.1,
"NLD","CGEXP","EDU","PC","A","2014",17.43,
"POL","CGEXP","EDU","PC","A","2014",17.59,
"PRT","CGEXP","HOUCOMM","PC","A","2014",0.11,"E"
"SVK","CGEXP","ECOAFF","PC","A","2014",15.39,
"SWE","CGEXP","HEALTH","PC","A","2014",3.95,
"SWE","CGEXP","HOUCOMM","PC","A","2014",0.29,
"GBR","CGEXP","HEALTH","PC","A","2014",18.66,
"GBR","CGEXP","HOUCOMM","PC","A","2014",4.44,
"EST","CGEXP","HOUCOMM","PC","A","2014",0.02,
"BEL","CGEXP","SOCPROT","PC","A","2014",9.67,
"DNK","CGEXP","ECOAFF","PC","A","2014",6.21,
"FIN","CGEXP","EDU","PC","A","2014",12.48,
"DEU","CGEXP","ECOAFF","PC","A","2014",8.43,
"GRC","CGEXP","EDU","PC","A","2014",10.51,
"HUN","CGEXP","HOUCOMM","PC","A","2014",0.77,
"ITA","CGEXP","HEALTH","PC","A","2014",13.08,
"ITA","CGEXP","HOUCOMM","PC","A","2014",0.57,
"LUX","CGEXP","HEALTH","PC","A","2014",1.86,"P"
"LUX","CGEXP","HOUCOMM","PC","A","2014",2.01,"P"
"PRT","CGEXP","HEALTH","PC","A","2014",14.68,"E"
"PRT","CGEXP","SOCPROT","PC","A","2014",14.1,"E"
"SWE","CGEXP","SOCPROT","PC","A","2014",37.8,
"GBR","CGEXP","SOCPROT","PC","A","2014",34.92,
"EST","CGEXP","HEALTH","PC","A","2014",7.06,
"EST","CGEXP","SOCPROT","PC","A","2014",31.41,
"SVN","CGEXP","HOUCOMM","PC","A","2014",0.58,
"OECD","CGEXP","ECOAFF","PC","A","2014",8.75,
"AUT","CGEXP","ECOAFF","PC","A","2014",14.87,
"BEL","CGEXP","EDU","PC","A","2014",4.85,
"CZE","CGEXP","ECOAFF","PC","A","2014",13.22,
"DNK","CGEXP","EDU","PC","A","2014",10.22,
"FIN","CGEXP","HOUCOMM","PC","A","2014",0.64,
"FRA","CGEXP","ECOAFF","PC","A","2014",14.54,
"DEU","CGEXP","EDU","PC","A","2014",2.52,
"GRC","CGEXP","HEALTH","PC","A","2014",6.41,
"GRC","CGEXP","HOUCOMM","PC","A","2014",0.17,
"HUN","CGEXP","ECOAFF","PC","A","2014",20.11,
"IRL","CGEXP","HEALTH","PC","A","2014",18.97,
"IRL","CGEXP","HOUCOMM","PC","A","2014",1.3,
"NLD","CGEXP","HEALTH","PC","A","2014",6.08,
"NLD","CGEXP","SOCPROT","PC","A","2014",24.96,
"POL","CGEXP","SOCPROT","PC","A","2014",25.58,
"ESP","CGEXP","SOCPROT","PC","A","2014",7.06,
"GBR","CGEXP","EDU","PC","A","2014",11,
"AUT","CGEXP","SOCPROT","PC","A","2014",31.07,
"CZE","CGEXP","SOCPROT","PC","A","2014",40.87,
"FRA","CGEXP","SOCPROT","PC","A","2014",21.33,
"ITA","CGEXP","ECOAFF","PC","A","2014",12,
"LUX","CGEXP","ECOAFF","PC","A","2014",15.24,"P"
"NLD","CGEXP","HOUCOMM","PC","A","2014",0.54,
"POL","CGEXP","HEALTH","PC","A","2014",5.31,
"POL","CGEXP","HOUCOMM","PC","A","2014",0.75,
"ESP","CGEXP","HEALTH","PC","A","2014",1.21,
"ESP","CGEXP","HOUCOMM","PC","A","2014",0.04,
"SVN","CGEXP","ECOAFF","PC","A","2014",16.98,
"OECD","CGEXP","EDU","PC","A","2014",7.5,
"LVA","CGEXP","ECOAFF","PC","A","2014",22.25,
"LVA","CGEXP","EDU","PC","A","2014",15.34,
"LVA","CGEXP","HEALTH","PC","A","2014",14.81,
"LVA","CGEXP","HOUCOMM","PC","A","2014",1.3,
"LVA","CGEXP","SOCPROT","PC","A","2014",9.79,
"LTU","CGEXP","ECOAFF","PC","A","2014",10.87,
"LTU","CGEXP","EDU","PC","A","2014",10.78,
"LTU","CGEXP","HEALTH","PC","A","2014",12.03,
"LTU","CGEXP","HOUCOMM","PC","A","2014",0.26,
"LTU","CGEXP","SOCPROT","PC","A","2014",8.88,
